"URL","Title","Description","Provider","Timestamp"
"https://www.together.xyz/blog/redpajama","RedPajama, a project to create leading open-source models, starts b...","RedPajama is a project to create a set of leading, fully open-source models. Today, we are excited to announce the completion of the first step of this project: the reproduction of the LLaMA training dataset of over 1.2 trillion tokens.","TOGETHER","2023-04-17T21:32:13.378000+00:00"
"https://github.com/allenai/mmc4","GitHub - allenai/mmc4: MultimodalC4 is a multimodal extension of c4...","MultimodalC4 is a multimodal extension of c4 that interleaves millions of images with text. - GitHub - allenai/mmc4: MultimodalC4 is a multimodal extension of c4 that interleaves millions of images...","GitHub","2023-04-17T15:29:44.555000+00:00"
"https://huggingface.co/datasets/balisujohn/RWKV-oasst1/tree/main","balisujohn/RWKV-oasst1 at main",,,"2023-04-16T07:05:31.802000+00:00"
"https://github.com/google-research-datasets/presto","GitHub - google-research-datasets/presto: A Multilingual Dataset fo...","A Multilingual Dataset for Parsing Realistic Task-Oriented Dialogs - GitHub - google-research-datasets/presto: A Multilingual Dataset for Parsing Realistic Task-Oriented Dialogs","GitHub","2023-04-15T21:55:53.637000+00:00"
"https://huggingface.co/datasets/balisujohn/RWKV-oasst1","balisujohn/RWKV-oasst1 · Datasets at Hugging Face",,,"2023-04-15T23:48:56.932000+00:00"
"https://huggingface.co/datasets/m8than/normalised_chatml_rwkvready/tree/main","m8than/normalised_chatml_rwkvready at main",,,"2023-04-15T19:04:40.478000+00:00"
"https://huggingface.co/datasets/OpenAssistant/oasst1","OpenAssistant/oasst1 · Datasets at Hugging Face",,,"2023-04-15T17:03:12.527000+00:00"
"https://blog.wtf.sg/posts/2023-02-03-the-new-xor-problem/","The New XOR Problem","In 1969, Marvin Minsky and Seymour Papert published Perceptrons: An Introduction to Computational Geometry. In it, they showed that a single-layer perceptron cannot compute the XOR function. The main argument relies on linear separability: Perceptrons are linear classifiers, which essentially means drawing a line to separate input that would res...",,"2023-04-15T15:13:15.448000+00:00"
"https://github.com/nomic-ai/gpt4all/issues/363","Dataset Multiround Chat Formatting Issue · Issue #363 · nomic-ai/gp...","In the original dataset with 400k prompt generations, there was ""<//s>"" surrounding the text each time a user asked another question in a given chat. However, in the new dataset for...","GitHub","2023-04-15T11:14:47.284000+00:00"
"https://huggingface.co/datasets/Nebulous/gpt4all_pruned/blob/main/data_multiround_pruned_3.jsonl","data_multiround_pruned_3.jsonl · Nebulous/gpt4all_pruned at main",,,"2023-04-15T10:49:41.092000+00:00"
"https://huggingface.co/datasets/nomic-ai/gpt4all-j-prompt-generations","nomic-ai/gpt4all-j-prompt-generations · Datasets at Hugging Face",,,"2023-04-14T21:44:49.268000+00:00"
"https://github.com/openai/openai-python/blob/main/chatml.md","openai-python/chatml.md at main · openai/openai-python","The OpenAI Python library provides convenient access to the OpenAI API from applications written in the Python language. - openai-python/chatml.md at main · openai/openai-python","GitHub","2023-04-14T18:59:00.574000+00:00"
"https://huggingface.co/datasets/QingyiSi/Alpaca-CoT","QingyiSi/Alpaca-CoT · Datasets at Hugging Face",,,"2023-04-13T12:11:52.386000+00:00"
"https://github.com/teknium1/GPTeacher","GitHub - teknium1/GPTeacher: A collection of modular datasets gener...","A collection of modular datasets generated by GPT-4, General-Instruct - Roleplay-Instruct - Code-Instruct - and Toolformer - GitHub - teknium1/GPTeacher: A collection of modular datasets generated ...","GitHub","2023-04-13T11:37:32.859000+00:00"
"https://github.com/HLTCHKUST/Xpersona","GitHub - HLTCHKUST/Xpersona: XPersona: Evaluating Multilingual Pers...","XPersona: Evaluating Multilingual Personalized Chatbot - GitHub - HLTCHKUST/Xpersona: XPersona: Evaluating Multilingual Personalized Chatbot","GitHub","2023-04-13T05:24:16.481000+00:00"
"https://huggingface.co/datasets/lcw99/wikipedia-korean-20221001","lcw99/wikipedia-korean-20221001 · Datasets at Hugging Face",,,"2023-04-13T03:56:45.764000+00:00"
"https://huggingface.co/datasets/heegyu/namuwiki-extracted","heegyu/namuwiki-extracted · Datasets at Hugging Face",,,"2023-04-13T03:56:45.764000+00:00"
"https://huggingface.co/skt/kogpt2-base-v2","skt/kogpt2-base-v2 · Hugging Face",,,"2023-04-13T03:56:45.764000+00:00"
"https://twitter.com/EnricoShippole/status/1646232739383738374",,"Added conceptofmind niv2_fspot_clm to the @huggingface hub. This FLAN dataset is built for instruction causal language modeling. Improper encoding/decoding was further cleaned. A big thanks to @ShayneRedford for providing guidance. https://t.co/N4DuZmglzg",,"2023-04-12T19:55:19.723000+00:00"
"https://github.com/loda-lang/loda-programs/tree/main/oeis","loda-programs/oeis at main · loda-lang/loda-programs","LODA Programs for Integer Sequences. Contribute to loda-lang/loda-programs development by creating an account on GitHub.","GitHub","2023-04-12T19:07:37.205000+00:00"
"https://www.databricks.com/blog/2023/04/12/dolly-first-open-commercially-viable-instruction-tuned-llm","Free Dolly: Introducing the World's First Truly Open Instruction-Tu...","Two weeks ago, we re","Databricks","2023-04-12T17:20:10.793000+00:00"
"https://docs.google.com/forms/d/e/1FAIpQLSdq50O1x4dkdGI4dwsmchFuNI0KCWEDiKUYxvd0r0_sl6FfAQ/viewform","Accessing the ROOTS corpus","The ROOTS corpus was developed during the BigScience workshop for the purpose of training the Multilingual Large Language Model BLOOM.

The BigScience workshop was a value-informed 1.5-year long project bringing together researchers from 60 countries to train a multilingual LLM and more generally enable research on the technical and social aspec...","Google Docs","2023-04-11T08:23:53.744000+00:00"
"https://huggingface.co/BlinkDL/rwkv-4-raven","BlinkDL/rwkv-4-raven · Hugging Face",,,"2023-04-10T20:20:40.765000+00:00"
"https://twitter.com/moyix/status/1644355889602654210",,"Here's a dataset of 104,277 C/C++ functions with:
1) Ghidra decompilation
2) Summaries from CodeGen-16B
3) Summaries and tags from GPT-3.5-Turbo
https://t.co/qKJOsRu4ug",,"2023-04-10T00:14:34.515000+00:00"
"https://huggingface.co/datasets/anon8231489123/ShareGPT_Vicuna_unfiltered","anon8231489123/ShareGPT_Vicuna_unfiltered · Datasets at Hugging Face",,,"2023-04-08T01:20:36.026000+00:00"
"https://www.federalreserve.gov/monetarypolicy/fomc_historical.htm","The Fed - Transcripts and other historical materials","The Federal Reserve Board of Governors in Washington DC.","Board of Governors of the Federal Reserve System","2023-04-07T23:41:52.980000+00:00"
"https://www.marketplace.org/shows/marketplace/a-month-after-svb-are-banks-lending/amp/","A month after SVB, are banks lending?","Banks appear to be pulling back on making loans. Plus, what we can learn from the track record of the secretary of labor nominee.","Marketplace","2023-04-07T23:36:46.123000+00:00"
"https://www.marketplace.org/","Business News & Economic Stories For Everyone","Marketplace raises the economic intelligence of the country through the unorthodox story, casual conversations and unexpected angles on the news.","Marketplace","2023-04-07T23:33:03.823000+00:00"
"https://onbeing.org/series/poetry-unbound/","Poetry Unbound","Your new ritual, in podcast form: Immerse yourself in a single poem, guided by Pádraig Ó Tuama.","The On Being Project","2023-04-07T23:29:38.819000+00:00"
"https://onbeing.org/blog/","The On Being Project","Pursuing deep thinking and moral imagination, social courage and joy, to renew inner life, outer life, and life together. A nonprofit media and public life initiative.","The On Being Project","2023-04-07T23:27:25.058000+00:00"
"https://onbeing.org/","The On Being Project","Emergence: a season of big, new, beautiful On Being conversations is here.","The On Being Project","2023-04-07T23:27:00.687000+00:00"
"https://www.radiofrance.fr/","Radio France | Écoutez en ligne vos radios","Retrouvez les radios en direct et replay, les podcasts originaux et la musique de France Inter, franceinfo, France Bleu, France Culture, France Musique, Fip, Mouv'. Écoutez en ligne tous les programmes de Radio France.","Radio France","2023-04-07T22:55:29.502000+00:00"
"https://www3.nhk.or.jp/news/","NHK NEWS WEB｜NHKのニュースサイト","NHKのニュースサイト「NHK NEWS WEB」。国内外の取材網を生かし、さまざまな分野のニュースをいち早く、正確にお伝えします。ニュース速報はもちろん、現場の記者が執筆した読み応えのある特集記事や、ＮＨＫならではの豊富な動画コンテンツも。","NHK NEWS WEB","2023-04-07T22:55:29.502000+00:00"
"https://www.bbc.com/travel/article/20230313-the-slowest-train-journey-in-india","The slowest train journey in India","Nobody uses the Nilgiri Mountain Railway to get from A to B, but for the sheer joy of riding in a train that passes through 16 tunnels, 250 bridges and 208 serpentine curves.",,"2023-04-07T22:51:56.760000+00:00"
"https://www.bbc.com/","BBC - Homepage",,,"2023-04-07T22:50:46.785000+00:00"
"https://freakonomics.com/","Freakonomics","The hidden side of everything","Freakonomics","2023-04-07T22:13:27.554000+00:00"
"https://a16z.com/content/","Content | Andreessen Horowitz","…","Andreessen Horowitz","2023-04-07T19:22:29.381000+00:00"
"https://apnews.com/","Associated Press News: Breaking News | Latest News Today","Stay informed and read the latest news today from The Associated Press, the definitive source for independent journalism from every corner of the globe.","AP NEWS","2023-04-07T18:45:51.163000+00:00"
"https://www.ted.com/","TED: Ideas worth spreading","TED Talks are influential videos from expert speakers on education, business, science, tech and creativity, with subtitles in 100+ languages. Ideas free to stream and download.",,"2023-04-07T18:38:44.838000+00:00"
"https://hyperallergic.com/","Homepage","A forum for serious, playful, and radical thinking about art in the world today. Founded in 2009, Hyperallergic is headquartered in Brooklyn, New York.","Hyperallergic","2023-04-07T18:35:22.940000+00:00"
"https://aeon.co/","Aeon | a world of ideas","Aeon is a magazine of ideas and culture. We publish in-depth essays, incisive articles, and a mix of original and curated videos — free to all.","Aeon","2023-04-07T18:23:05.447000+00:00"
"https://psyche.co/","Psyche | on the human condition","Psyche is a digital magazine from Aeon that illuminates the human condition through psychology, philosophy and the arts.","Psyche","2023-04-07T18:23:05.447000+00:00"
"https://www.youtube.com/watch?v=Hi6cbeBY2oQ","OpenAssistant First Models are here! (Open-Source ChatGPT)","#openassistant #chatgpt #gpt4

https://open-assistant.io/chat
https://huggingface.co/OpenAssistant
https://github.com/LAION-AI/Open-Assistant

Links:
Homepage: https://ykilcher.com
Merch: https://ykilcher.com/merch
YouTube: https://www.youtube.com/c/yannickilcher
Twitter: https://twitter.com/ykilcher
Discord: https://ykilcher.com/discord
LinkedI...","YouTube","2023-04-07T11:34:59.846000+00:00"
"https://github.com/Instruction-Tuning-with-GPT-4/GPT-4-LLM","GitHub - Instruction-Tuning-with-GPT-4/GPT-4-LLM","Contribute to Instruction-Tuning-with-GPT-4/GPT-4-LLM development by creating an account on GitHub.","GitHub","2023-04-07T02:51:17.952000+00:00"
"https://www.asciiart.eu/","ASCII Art Archive","A large collection of ASCII art drawings and other related ASCII art pictures.","ASCII Art Archive","2023-04-06T21:36:24.229000+00:00"
"https://www.jw.org/en/bible-teachings/","Bible Teachings & Bible Study Topics | JW.ORG","The Bible offers the best possible advice on life’s most difficult questions. Find out how practical the Bible really is by selecting a topic that interests you.","JW.ORG","2023-04-06T19:55:41.123000+00:00"
"https://www.jw.org/en/library/","Library of Publications | JW.ORG","Browse our library of magazines, ebooks, videos, music, and more.  Bible-based publications are available in hundreds of languages, including sign languages.","JW.ORG","2023-04-06T19:52:45.447000+00:00"
"https://en.m.wikipedia.org/wiki/Church_of_Satan","Church of Satan","The Church of Satan is a religious organization dedicated to the religion of LaVeyan Satanism as codified in The Satanic Bible. The Church of Satan was established at the Black House in San Francisco, California, on Walpurgisnacht, April 30, 1966, by Anton Szandor LaVey, who was the church's High Priest until his death in 1997. In 2001, Peter H....",,"2023-04-06T19:12:29.794000+00:00"
"https://www.churchofsatan.com/","Official Church of Satan Website - churchofsatan.com","Welcome to the official website of the Church of Satan. Founded on April 30, 1966 c.e. by Anton Szandor LaVey, we are the first above-ground organization in history openly dedicated to the acceptance of Man's true nature-that of a carnal beast, living in a cosmos that is indifferent to our existence.","Church of Satan","2023-04-06T19:11:58.435000+00:00"
"https://free.law/recap","RECAP Suite — Turning PACER Around Since 2009","RECAP is an online archive and free extension for Firefox, Chrome and Safari that improves the experience of using PACER, the electronic public access system for the U.S. Federal District and Bankruptcy Courts. Once installed, every docket or PDF you purchase on PACER will be added to the [RECAP Archive][archive]. Anything somebody else has adde...","Free Law Project","2023-04-06T19:06:23.098000+00:00"
"https://winstonchurchill.org/","Home Page",,"International Churchill Society","2023-04-06T01:50:08.006000+00:00"
"https://www.americanrhetoric.com/","American Rhetoric: The Power of Oratory in the United States","Site dedicated to Public Rhetoric, political, social, movie and religious speeches and related concepts of and exercises in rhetoric.",,"2023-04-06T01:21:11.475000+00:00"
"https://supreme.justia.com/","U.S. Supreme Court Center","United States Supreme Court Opinions","Justia Law","2023-04-06T01:11:25.606000+00:00"
